tahun,bulan,pelaku_kekerasan,jumlah_korban_kekerasan_terhadap_perempuan_dan_anak_berdasarkan_pelaku_kekerasan,
2021,09,Orang Tua,7,
2021,09,Keluarga,6,
2021,09,Suami,21,
2021,09,Lainnya,19,
2021,09,Pacar,13,
2021,09,Tetangga,8,
