tahun,bulan,jenis_kekerasan,jumlah_korban_kekerasan_thd_perempuan_anak_ berdasarkan_jenis_kekerasan
2020,04,KDRT,20
2020,04,Kekerasan Seksual,21
2020,04,Trafficking,0
2020,04,Kasus Lain,13
