tahun,bulan,pelaku_kekerasan,jumlah_korban_kekerasan_terhadap_perempuan_dan_anak_berdasarkan_pelaku_kekerasan,
2021,08,Orang Tua,21,
2021,08,Keluarga,11,
2021,08,Suami,23,
2021,08,Lainnya,43,
2021,08,Pacar,14,
2021,08,Tetangga,18,
