tahun,bulan,usia_klien_dan_pelaku,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_usia_pelaku,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_usia_klien
2020,06,0 - 17 thn,0,59
2020,06,18 - 24 thn,0,32
2020,06,25 - 59 thn,34,40
2020,06,60 +,0,0
