tahun,bulan,jenis_kekerasan,jumlah_korban_kekerasan_thd_perempuan_anak_ berdasarkan_jenis_kekerasan
2020,06,KDRT,41
2020,06,Kekerasan Seksual,29
2020,06,Trafficking,44
2020,06,Kasus Lain,17
