tahun,bulan,jenis_kekerasan,jumlah_korban_kekerasan_thd_perempuan_anak_ berdasarkan_jenis_kekerasan
2020,10,KDRT,27
2020,10,Kekerasan Seksual,14
2020,10,Trafficking,0
2020,10,Kasus Lain,3
