tahun,bulan,pelaku_kekerasan,jumlah_korban_kekerasan_terhadap_perempuan_dan_anak_berdasarkan_pelaku_kekerasan
2021,03,Orang Tua,8
2021,03,Keluarga,9
2021,03,Suami,17
2021,03,Lainnya,34
2021,03,Pacar,10
2021,03,Tetangga,4
