tahun,bulan,jenis_kekerasan,jumlah_korban_kekerasan_thd_perempuan_anak_ berdasarkan_jenis_kekerasan
2020,12,KDRT,29
2020,12,Kekerasan Seksual,24
2020,12,Trafficking,2
2020,12,Kasus Lain,8
