tahun,bulan,pelaku_kekerasan,jumlah_korban_kekerasan_terhadap_perempuan_dan_anak_berdasarkan_pelaku_kekerasan
2021,01,Orang Tua,2
2021,01,Keluarga,1
2021,01,Suami,23
2021,01,Lainnya,40
2021,01,Pacar,4
2021,01,Tetangga,1
