tahun,bulan,pelaku_kekerasan,jumlah_korban_kekerasan_terhadap_perempuan_dan_anak_berdasarkan_pelaku_kekerasan
2021,05,Orang Tua,11
2021,05,Keluarga,4
2021,05,Suami,22
2021,05,Lainnya,37
2021,05,Pacar,6
2021,05,Tetangga,4
