tahun,bulan,jenis_kekerasan,jumlah_korban_kekerasan_thd_perempuan_anak_ berdasarkan_jenis_kekerasan
2020,05,KDRT,24
2020,05,Kekerasan Seksual,14
2020,05,Trafficking,0
2020,05,Kasus Lain,7
