tahun,bulan,usia_klien_dan_pelaku,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_usia_pelaku,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_usia_klien
2020,02,0 - 17 thn,2,47
2020,02,18 - 24 thn,6,15
2020,02,25 - 59 thn,77,23
2020,02,60 +,0,0
