tahun,bulan,pelaku_kekerasan,jumlah_korban_kekerasan_terhadap_perempuan_dan_anak_berdasarkan_pelaku_kekerasan,
2021,02,Orang Tua,15,
2021,02,Keluarga,2,
2021,02,Suami,15,
2021,02,Lainnya,42,
2021,02,Pacar,2,
2021,02,Tetangga,3,
